                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.3304,                0.79598,                0.80422,                0.96962,                 0.9672,                0.94497,                0.58394,                 1.2356,                  1.497,                  0.553,              0.0008885,              0.0008885,              0.0008885
                     59,                 1.2176,                0.83065,                0.80208,                 0.9627,                0.93939,                0.94453,                0.61891,                 1.0718,                 1.4349,                0.55145,               0.000869,               0.000869,               0.000869
                     60,                 1.4456,                0.85237,                0.78857,                0.95875,                0.93939,                0.94358,                0.62687,                 1.0776,                 1.4494,                0.55235,              0.0008495,              0.0008495,              0.0008495
                     61,                 1.3195,                0.76358,                0.80732,                0.96945,                0.96181,                0.94778,                0.61957,                 1.1519,                 1.4403,                0.55379,                0.00083,                0.00083,                0.00083
                     62,                 1.3958,                0.81394,                0.80768,                0.96409,                 0.9697,                0.94763,                0.62065,                 1.1406,                 1.3996,                0.55378,              0.0008105,              0.0008105,              0.0008105
                     63,                 1.2018,                0.85978,                0.67032,                0.95684,                 0.9697,                0.95101,                0.64385,                 1.0351,                 1.3994,                0.55255,               0.000791,               0.000791,               0.000791
                     64,                 1.2911,                0.77663,                0.79463,                0.91395,                 0.9697,                0.94702,                0.60918,                 1.1191,                 1.4511,                0.55162,              0.0007715,              0.0007715,              0.0007715
                     65,                 1.4224,                0.88744,                 0.7899,                 0.9681,                 0.9697,                0.94627,                0.57026,                 1.2288,                 1.5147,                0.55401,               0.000752,               0.000752,               0.000752
                     66,                  1.283,                 0.7599,                 0.7854,                0.96783,                 0.9697,                0.96287,                0.57367,                 1.1869,                 1.4493,                0.55552,              0.0007325,              0.0007325,              0.0007325
                     67,                 1.4205,                0.74185,                 0.7991,                0.96699,                 0.9697,                0.94627,                0.60503,                 1.1646,                 1.4018,                0.55592,               0.000713,               0.000713,               0.000713
                     68,                 1.0926,                0.68888,                0.66772,                0.96351,                 0.9697,                0.94587,                 0.6169,                 1.1615,                 1.3649,                0.55398,              0.0006935,              0.0006935,              0.0006935
                     69,                 1.2526,                 0.7283,                0.80587,                0.96157,                 0.9697,                0.96287,                0.62699,                 1.1858,                 1.4253,                0.55639,               0.000674,               0.000674,               0.000674
                     70,                 1.4095,                0.81735,                 0.7782,                  0.938,                 0.9697,                0.96261,                 0.6468,                  1.121,                 1.4432,                0.55624,              0.0006545,              0.0006545,              0.0006545
                     71,                 1.3086,                0.74089,                0.79445,                 0.9411,                0.96838,                0.93783,                  0.605,                 1.0698,                 1.4781,                0.55352,               0.000635,               0.000635,               0.000635
                     72,                 1.1316,                0.75385,                0.66371,                0.93807,                0.93939,                0.93635,                0.60632,                 1.0509,                 1.4628,                0.55271,              0.0006155,              0.0006155,              0.0006155
