                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                   1.02,                 1.0144,                 1.0535,                0.47629,                0.40293,                0.37992,                0.27042,                  1.321,                 1.7174,                 1.1905,             0.00029664,             0.00029664,             0.00029664
                     65,                 1.0057,                0.99858,                 1.0442,                0.46133,                0.42247,                0.37659,                0.26987,                 1.3194,                 1.7039,                 1.1871,             0.00028914,             0.00028914,             0.00028914
                     66,                 1.0128,                 1.0034,                 1.0484,                0.45195,                0.41896,                0.38408,                0.27495,                 1.3182,                 1.6979,                 1.1931,             0.00028165,             0.00028165,             0.00028165
                     67,                 1.0154,                0.99895,                 1.0499,                0.49482,                0.40262,                0.38656,                0.27455,                 1.3135,                 1.7146,                 1.1907,             0.00027415,             0.00027415,             0.00027415
                     68,                 1.0075,                 0.9896,                 1.0456,                 0.4353,                0.43591,                0.40022,                0.28428,                 1.3256,                 1.6934,                 1.1959,             0.00026665,             0.00026665,             0.00026665
                     69,                 1.0004,                0.98413,                 1.0441,                0.50592,                0.42056,                0.39918,                0.28669,                 1.3241,                 1.6972,                 1.1957,             0.00025915,             0.00025915,             0.00025915
                     70,                  0.996,                0.97337,                 1.0404,                0.50589,                0.41687,                0.39591,                0.27753,                 1.3347,                 1.7064,                 1.1968,             0.00025166,             0.00025166,             0.00025166
                     71,                0.98825,                0.96348,                 1.0386,                0.51976,                0.39717,                0.39597,                0.27928,                 1.3364,                 1.6992,                 1.1942,             0.00024416,             0.00024416,             0.00024416
                     72,                 0.9822,                0.95035,                 1.0356,                0.48295,                0.41501,                0.39724,                0.28126,                 1.3413,                 1.7087,                 1.2015,             0.00023666,             0.00023666,             0.00023666
                     73,                0.98101,                0.94586,                 1.0316,                0.47281,                0.40349,                 0.3897,                0.27932,                 1.3169,                 1.7194,                 1.1963,             0.00022916,             0.00022916,             0.00022916
                     74,                0.97972,                0.94205,                 1.0352,                0.49607,                 0.3908,                0.39027,                0.27979,                 1.3168,                 1.7209,                   1.19,             0.00022166,             0.00022166,             0.00022166
                     75,                0.97305,                0.93856,                  1.028,                 0.5365,                0.38342,                0.39159,                0.28025,                  1.331,                 1.7344,                 1.1973,             0.00021417,             0.00021417,             0.00021417
                     76,                0.97143,                0.92458,                 1.0239,                0.47673,                0.41844,                0.39412,                0.28392,                 1.3121,                 1.7068,                 1.1928,             0.00020667,             0.00020667,             0.00020667
                     77,                0.96024,                 0.9192,                 1.0264,                0.50997,                0.41099,                0.39397,                0.28602,                 1.3161,                 1.7305,                 1.1985,             0.00019917,             0.00019917,             0.00019917
                     78,                0.96816,                0.92171,                  1.029,                0.50355,                0.41882,                0.39823,                0.28377,                 1.3208,                 1.7191,                  1.201,             0.00019167,             0.00019167,             0.00019167
                     79,                0.95959,                0.90183,                 1.0216,                0.52716,                0.40795,                0.39477,                 0.2836,                 1.3214,                 1.7327,                 1.2024,             0.00018418,             0.00018418,             0.00018418
                     80,                0.95786,                0.91551,                 1.0273,                0.51943,                0.39628,                0.39576,                0.28701,                 1.3072,                 1.7194,                 1.1992,             0.00017668,             0.00017668,             0.00017668
                     81,                0.95935,                0.91065,                 1.0268,                0.49791,                0.41597,                0.39224,                0.27951,                 1.3211,                 1.7337,                 1.2025,             0.00016918,             0.00016918,             0.00016918
                     82,                0.94423,                0.89563,                 1.0204,                0.47075,                0.43059,                0.39615,                0.28287,                 1.3119,                 1.7077,                 1.1966,             0.00016168,             0.00016168,             0.00016168
                     83,                 0.9418,                0.88616,                  1.015,                0.50942,                0.40295,                0.39721,                0.28487,                 1.3091,                 1.7216,                  1.193,             0.00015418,             0.00015418,             0.00015418
                     84,                0.94148,                0.88163,                 1.0175,                 0.5001,                0.41145,                0.39184,                0.27977,                 1.3216,                 1.7285,                 1.1969,             0.00014669,             0.00014669,             0.00014669
                     85,                0.94229,                0.87984,                 1.0186,                0.51542,                0.40034,                0.39594,                0.27972,                 1.3274,                 1.7301,                 1.1966,             0.00013919,             0.00013919,             0.00013919
                     86,                0.93734,                0.87532,                 1.0156,                0.52785,                0.39485,                0.39391,                0.28249,                 1.3208,                 1.7316,                 1.1983,             0.00013169,             0.00013169,             0.00013169
                     87,                0.93772,                0.87069,                 1.0101,                0.48506,                0.41619,                0.38654,                0.27657,                 1.3192,                 1.7284,                 1.2006,             0.00012419,             0.00012419,             0.00012419
                     88,                0.92471,                0.86528,                 1.0095,                0.50261,                0.41263,                0.39071,                0.28384,                 1.3147,                 1.7282,                 1.1998,              0.0001167,              0.0001167,              0.0001167
                     89,                0.92434,                0.86165,                 1.0113,                 0.5115,                 0.3968,                0.39743,                0.28891,                  1.308,                 1.7123,                 1.1968,              0.0001092,              0.0001092,              0.0001092
                     90,                0.88006,                0.78074,                0.99674,                0.54608,                0.37286,                0.39259,                0.28347,                 1.3218,                 1.7381,                 1.2037,              0.0001017,              0.0001017,              0.0001017
                     91,                0.85256,                0.74497,                0.98502,                0.44957,                0.43269,                0.39164,                0.28251,                 1.3187,                 1.7435,                 1.2006,             9.4202e-05,             9.4202e-05,             9.4202e-05
                     92,                0.85874,                0.74992,                0.98555,                0.50105,                0.41777,                0.38897,                0.28002,                 1.3205,                 1.7489,                 1.2007,             8.6705e-05,             8.6705e-05,             8.6705e-05
                     93,                0.84594,                0.73562,                0.98078,                0.49133,                0.42513,                0.39547,                0.28284,                 1.3243,                 1.7592,                 1.2004,             7.9207e-05,             7.9207e-05,             7.9207e-05
                     94,                0.84858,                0.73484,                0.98034,                0.54232,                0.40026,                0.39803,                0.28589,                 1.3261,                 1.7518,                 1.2021,             7.1709e-05,             7.1709e-05,             7.1709e-05
                     95,                0.83552,                0.71665,                0.97692,                0.52936,                0.40929,                0.39469,                0.28336,                 1.3218,                 1.7652,                 1.2014,             6.4212e-05,             6.4212e-05,             6.4212e-05
                     96,                0.83436,                0.71797,                0.97581,                0.52291,                0.41148,                0.39357,                0.28275,                 1.3224,                 1.7708,                 1.2053,             5.6714e-05,             5.6714e-05,             5.6714e-05
                     97,                 0.8317,                0.71627,                0.97705,                0.49977,                0.42281,                0.39186,                0.27911,                  1.324,                 1.7692,                 1.2048,             4.9216e-05,             4.9216e-05,             4.9216e-05
                     98,                0.82757,                0.70879,                0.97294,                0.50588,                0.41839,                0.39272,                0.28305,                 1.3273,                 1.7799,                 1.2053,             4.1718e-05,             4.1718e-05,             4.1718e-05
                     99,                0.82303,                0.69963,                0.97326,                0.51581,                0.41504,                0.39307,                0.28437,                 1.3231,                 1.7842,                 1.2039,             3.4221e-05,             3.4221e-05,             3.4221e-05
