                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2011,                0.57359,                 1.1207,                0.89457,                0.87365,                 0.8999,                0.53737,                 1.4795,                0.64401,                 1.3756,             0.00086285,             0.00086285,             0.00086285
                     59,                 1.1905,                 0.5637,                 1.1068,                0.89058,                0.87466,                0.90699,                0.53301,                 1.4995,                0.64634,                 1.3581,              0.0008429,              0.0008429,              0.0008429
                     60,                 1.1928,                0.56589,                 1.1206,                0.88435,                0.87066,                0.90492,                0.53272,                 1.4937,                0.65146,                 1.3732,             0.00082295,             0.00082295,             0.00082295
                     61,                 1.1677,                0.56023,                 1.1126,                0.88523,                0.86364,                0.89929,                0.52217,                 1.4955,                0.67183,                 1.3733,               0.000803,               0.000803,               0.000803
                     62,                 1.1692,                0.54978,                 1.0968,                0.88361,                0.87066,                 0.9073,                0.53693,                 1.4893,                0.64621,                 1.3814,             0.00078305,             0.00078305,             0.00078305
                     63,                 1.1697,                0.55174,                 1.1169,                0.90399,                 0.8565,                 0.8958,                0.53131,                 1.4939,                0.66173,                 1.3777,              0.0007631,              0.0007631,              0.0007631
                     64,                 1.1543,                0.54596,                 1.0899,                0.89382,                0.87645,                0.90737,                0.52577,                 1.5414,                0.64694,                 1.3935,             0.00074315,             0.00074315,             0.00074315
                     65,                 1.1659,                0.54294,                 1.1065,                0.89331,                 0.8861,                0.91038,                0.53324,                 1.5116,                0.63059,                 1.3628,              0.0007232,              0.0007232,              0.0007232
                     66,                 1.1557,                 0.5362,                 1.0916,                0.89031,                0.86358,                 0.8985,                0.53275,                 1.4952,                0.64728,                 1.3691,             0.00070325,             0.00070325,             0.00070325
                     67,                 1.1582,                0.53877,                 1.0987,                0.89714,                0.86996,                0.89878,                 0.5341,                 1.4925,                0.64237,                 1.3525,              0.0006833,              0.0006833,              0.0006833
                     68,                 1.1418,                0.53648,                 1.0832,                0.89985,                0.87387,                0.91078,                0.54365,                 1.4629,                0.64158,                 1.3492,             0.00066335,             0.00066335,             0.00066335
