               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.023368,            0.016031,           0.0085856,             0.81501,             0.74381,             0.82236,             0.55629,            0.030914,            0.013376,            0.012739,            0.002278,            0.002278,            0.002278
                  80,             0.02282,            0.016563,           0.0090166,             0.82855,             0.76537,             0.82915,             0.56735,            0.029368,            0.012577,            0.014186,            0.002179,            0.002179,            0.002179
                  81,            0.022702,            0.016258,           0.0076919,             0.85842,             0.75397,              0.8444,             0.58507,            0.029763,            0.012522,            0.012263,             0.00208,             0.00208,             0.00208
                  82,            0.022524,            0.016364,           0.0077476,             0.86388,             0.75856,             0.84283,              0.5778,            0.029567,            0.012367,            0.010934,            0.001981,            0.001981,            0.001981
                  83,            0.023203,            0.015508,            0.007297,             0.87192,             0.71156,             0.82164,             0.55766,            0.029306,            0.012743,            0.011311,            0.001882,            0.001882,            0.001882
                  84,            0.023239,            0.016099,           0.0093069,             0.82406,             0.76863,             0.83038,             0.56344,             0.02928,            0.012888,            0.010081,            0.001783,            0.001783,            0.001783
                  85,            0.023031,            0.015414,           0.0092396,             0.82143,             0.73782,             0.82358,               0.565,            0.029214,            0.013103,            0.010745,            0.001684,            0.001684,            0.001684
                  86,            0.022062,            0.015721,           0.0065698,             0.86325,             0.75526,             0.83213,             0.58438,            0.027782,            0.012645,            0.011312,            0.001585,            0.001585,            0.001585
                  87,            0.022845,            0.015834,           0.0077165,             0.87653,             0.72486,             0.82543,             0.56731,            0.028026,            0.012894,            0.011129,            0.001486,            0.001486,            0.001486
                  88,            0.021747,            0.015456,           0.0083369,             0.85003,             0.74496,              0.8291,             0.57547,            0.028111,            0.012431,            0.012032,            0.001387,            0.001387,            0.001387
                  89,            0.022381,            0.015287,           0.0072607,              0.8512,             0.75253,             0.83482,              0.5805,            0.028587,             0.01274,            0.012273,            0.001288,            0.001288,            0.001288
                  90,            0.021477,            0.015597,           0.0071713,              0.8864,             0.73615,             0.83115,             0.57564,            0.028652,            0.012857,            0.013281,            0.001189,            0.001189,            0.001189
                  91,            0.021249,            0.015514,           0.0068247,             0.86776,             0.75129,             0.83682,             0.58303,            0.028439,            0.012478,            0.012997,             0.00109,             0.00109,             0.00109
                  92,            0.020787,            0.015128,           0.0074841,             0.88281,             0.75385,             0.84642,             0.59181,            0.028167,            0.012325,            0.013297,            0.000991,            0.000991,            0.000991
                  93,            0.021152,            0.015609,           0.0072472,             0.90124,             0.74283,             0.84999,             0.59921,            0.027585,            0.012156,            0.011432,            0.000892,            0.000892,            0.000892
                  94,            0.020112,            0.014837,           0.0079738,             0.86404,             0.77053,             0.85142,             0.60075,            0.027777,            0.012348,            0.011015,            0.000793,            0.000793,            0.000793
                  95,            0.020255,            0.014736,           0.0086133,             0.87522,             0.75389,             0.84765,             0.58885,            0.027879,            0.012722,            0.010708,            0.000694,            0.000694,            0.000694
                  96,            0.021406,            0.015402,           0.0059641,             0.87859,              0.7446,             0.84151,             0.58463,            0.028054,            0.012922,            0.011287,            0.000595,            0.000595,            0.000595
                  97,            0.018914,             0.01461,           0.0058867,             0.87948,             0.75814,              0.8456,             0.58854,            0.028023,            0.012835,            0.011339,            0.000496,            0.000496,            0.000496
                  98,            0.019645,            0.014194,           0.0068739,             0.88276,             0.75177,             0.84292,             0.58719,            0.028019,            0.012969,            0.011386,            0.000397,            0.000397,            0.000397
                  99,            0.019758,            0.014574,            0.007704,             0.88689,              0.7429,               0.843,             0.58817,             0.02794,            0.012935,            0.011538,            0.000298,            0.000298,            0.000298
