                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.67975,                0.39464,                0.91266,                0.82197,                0.80177,                0.82443,                0.60412,                 1.0642,                0.56487,                 1.0369,             0.00021778,             0.00021778,             0.00021778
                     51,                0.68457,                0.39329,                0.91568,                0.81428,                0.80956,                0.82635,                0.62189,                 1.0416,                0.55021,                 1.0297,             0.00021371,             0.00021371,             0.00021371
                     52,                 0.6806,                0.39628,                0.91539,                0.78275,                0.79052,                0.80744,                0.59772,                 1.0669,                0.55268,                 1.0485,             0.00020965,             0.00020965,             0.00020965
                     53,                0.67429,                0.38593,                0.91239,                 0.7885,                0.84742,                0.81355,                0.61011,                 1.0478,                0.54785,                 1.0354,             0.00020558,             0.00020558,             0.00020558
                     54,                 0.6651,                0.37913,                0.90854,                0.79987,                0.83007,                0.83367,                0.62589,                 1.0349,                0.55625,                 1.0259,             0.00020152,             0.00020152,             0.00020152
                     55,                0.67533,                0.38174,                0.90948,                0.80913,                0.80055,                0.83252,                0.63348,                 1.0302,                0.54837,                 1.0233,             0.00019745,             0.00019745,             0.00019745
                     56,                0.66025,                0.37849,                0.90728,                 0.7758,                  0.796,                0.82325,                0.60939,                  1.032,                 0.5504,                 1.0316,             0.00019338,             0.00019338,             0.00019338
                     57,                0.65568,                 0.3773,                0.90663,                0.77301,                0.83478,                0.83185,                0.61979,                 1.0326,                 0.5551,                 1.0253,             0.00018932,             0.00018932,             0.00018932
                     58,                0.64888,                0.37222,                0.90287,                0.81841,                0.80857,                0.82352,                 0.6165,                 1.0172,                0.55448,                 1.0278,             0.00018525,             0.00018525,             0.00018525
                     59,                0.64219,                0.37157,                0.90248,                0.82438,                0.80153,                0.82554,                0.62055,                 1.0335,                0.56396,                 1.0305,             0.00018119,             0.00018119,             0.00018119
                     60,                0.63913,                0.37091,                0.90233,                 0.7753,                0.83446,                0.83831,                0.63937,                 1.0305,                0.56985,                 1.0357,             0.00017712,             0.00017712,             0.00017712
                     61,                0.64143,                0.36849,                0.90059,                0.79433,                0.84301,                0.83093,                0.63046,                 1.0157,                0.54239,                 1.0224,             0.00017306,             0.00017306,             0.00017306
                     62,                0.63866,                0.36738,                 0.9012,                0.78361,                0.85169,                0.83049,                0.60832,                 1.0794,                0.55698,                 1.0478,             0.00016899,             0.00016899,             0.00016899
                     63,                 0.6352,                0.36457,                 0.8992,                0.81936,                0.80957,                0.84323,                0.64993,                0.99312,                0.52998,                 1.0162,             0.00016492,             0.00016492,             0.00016492
                     64,                0.63645,                0.36059,                0.89634,                0.80209,                0.83381,                0.82889,                0.63854,                0.98986,                0.52974,                 1.0142,             0.00016086,             0.00016086,             0.00016086
                     65,                0.62833,                0.36073,                0.89566,                0.77997,                0.85227,                 0.8194,                0.61919,                 1.0393,                0.54794,                 1.0354,             0.00015679,             0.00015679,             0.00015679
                     66,                0.63296,                 0.3614,                0.89846,                0.82963,                0.81489,                 0.8376,                0.64654,                0.99364,                0.53829,                 1.0079,             0.00015273,             0.00015273,             0.00015273
                     67,                0.62565,                0.35486,                0.89668,                0.83214,                0.81567,                0.83364,                0.63805,                0.99111,                0.52779,                 1.0131,             0.00014866,             0.00014866,             0.00014866
                     68,                0.62154,                0.35304,                0.89289,                0.81213,                0.82999,                0.83408,                 0.6471,                0.98425,                0.52003,                 1.0096,             0.00014459,             0.00014459,             0.00014459
                     69,                0.61868,                0.35311,                0.89427,                 0.7846,                0.84329,                0.82951,                0.63113,                 1.0194,                0.54176,                 1.0221,             0.00014053,             0.00014053,             0.00014053
                     70,                0.61067,                0.34933,                0.88664,                0.82141,                0.84614,                 0.8569,                0.65808,                0.98331,                0.52171,                   1.01,             0.00013646,             0.00013646,             0.00013646
                     71,                0.60229,                0.34226,                 0.8907,                0.80791,                0.81262,                0.86099,                0.66805,                0.96946,                0.51557,                 1.0086,              0.0001324,              0.0001324,              0.0001324
                     72,                0.60285,                0.34632,                0.88961,                0.77845,                0.82502,                0.83426,                0.64839,                0.96138,                0.50927,                 1.0031,             0.00012833,             0.00012833,             0.00012833
                     73,                0.60498,                0.34451,                 0.8899,                0.82012,                0.83377,                0.83757,                0.62864,                 1.0145,                0.54057,                 1.0249,             0.00012427,             0.00012427,             0.00012427
                     74,                0.59597,                0.34141,                0.88693,                0.80073,                0.80694,                0.85694,                0.66973,                0.96767,                0.51203,                 1.0049,              0.0001202,              0.0001202,              0.0001202
                     75,                0.59496,                0.34244,                0.88884,                0.78887,                0.79686,                0.85404,                0.66896,                0.96165,                0.50993,                 1.0037,             0.00011613,             0.00011613,             0.00011613
                     76,                0.59402,                0.33965,                0.88646,                 0.7716,                0.84023,                0.85765,                0.67058,                0.97313,                0.51075,                 1.0073,             0.00011207,             0.00011207,             0.00011207
